route_stop_id,route_id,direction_id,stop_sequence,trip_headsign,stop_id
1293,311,1,26,311 ACC RIVERSIDE EB,2499
1294,3,0,35,3 Southpark Meadows SB,5349
1295,318,0,37,318 Thaxton EB,6322
1296,325,1,27,325 Tech Ridge Park & Ride NB,3036
1297,2,1,19,2 Springdale NB,659
1298,2,0,26,2 EASTSIDE BUS PLAZA SB,6272
1299,324,1,6,324 Northcross WB,1278
1300,5,0,33,5 Tannehill EB,2108
1301,333,0,8,333 Brush Country WB,2505
1302,300,1,26,300 Crestview Station NB,5779
1303,7,0,58,7 William Cannon SB,1214
1304,10,0,60,10 Southpark Meadows SB,2628
1305,325,0,26,325 Norwood Transit Center SB,4539
1306,5,1,45,5 Northcross WB,1065
1307,350,0,34,350 North Lamar Transit Center NB,5602
1308,383,1,14,383 North Lamar Transit Center SB,4960
1309,318,1,23,318 Westgate Transit Center WB,5962
1310,315,0,13,315 S. Congress Transit Center EB,2218
1311,7,1,58,7 Airport/Highland NB,1797
1312,322,0,3,322 RBJ Center SB,2012
1313,392,1,7,392 Kramer Station WB,5321
1314,7,1,26,7 Crestview Station NB,1240
1315,310,0,19,310 ACC Riverside EB,1011
1316,333,1,37,333 Thaxton EB,6520
1317,1,1,42,1 Tech Ridge Park & Ride NB,610
1318,325,1,28,325 Tech Ridge Park & Ride NB,5705
1319,333,0,33,333 Oak Hill WB,3183
1320,311,1,27,311 ACC RIVERSIDE EB,4335
1321,5,0,34,5 Tannehill EB,2110
1322,3,0,36,3 Southpark Meadows SB,5352
1323,5,1,46,5 Northcross WB,1066
1324,323,1,4,323 Norwood Transit Center EB,5508
1325,383,1,15,383 North Lamar Transit Center SB,5792
1326,318,1,24,318 Westgate Transit Center WB,4431
1327,837,1,14,837 Decker NB,6495
1328,803,1,15,803 Westgate Transit Center SB,5863
1329,325,0,27,325 Norwood Transit Center SB,2585
1330,350,1,28,350 ACC Riverside SB,3304
1331,333,0,9,333 Brush Country WB,5137
1332,10,0,61,10 Southpark Meadows SB,2629
1333,801,1,22,801 Southpark Meadows SB,4029
